profile,kp,ki,bias,integral_limit,max_temperature_C,mean_abs_temp_error_C,rms_temp_error_C,time_above_safe_s,total_cooling_effort,mean_cooling_action,action_variation,total_reward,failed
Pulsed,0.06,0.001,0.1,100.0,39.59724584373827,3.7030234637313546,4.1987098756406676,0.0,446.7492898595556,0.24819404992197533,0.9487034678459167,-322.7901541898015,False
Random,0.06,0.001,0.1,100.0,39.12561737072272,3.809030739987076,4.353983746814375,0.0,431.42648931301665,0.2396813829516759,0.47421732544898987,-346.45700900980273,False
Constant,0.06,0.001,0.1,150.0,39.12047837713276,3.787718785759312,4.2848921035744905,0.0,498.1405807425035,0.2767447670791686,0.524865448474884,-337.29300826490174,False
Step,0.06,0.001,0.1,150.0,41.75993261178105,5.673984792994639,6.072573883858815,0.0,604.1146937627345,0.3356192743126303,0.6816517114639282,-674.6422408138284,False
Pulsed,0.06,0.001,0.1,150.0,39.24918783016856,3.5559926629369745,4.060653794168551,0.0,473.66887041484006,0.26314937245268893,1.0054100155830383,-303.04926981869403,False
Random,0.06,0.001,0.1,150.0,38.78930286472367,3.674123827546028,4.231583587175477,0.0,457.5620121198008,0.25420111784433375,0.5102011859416962,-328.31646670922163,False
Constant,0.06,0.001,0.15,40.0,39.499745600664085,3.876434664617071,4.406148101636498,0.0,473.0150837646506,0.2627861576470281,0.4779270887374878,-355.18360480153433,False
Step,0.06,0.001,0.15,40.0,42.18474231068874,5.792162625893102,6.233463881375809,0.0,579.7669571113656,0.3220927539507587,0.6398960947990417,-709.0013221672036,False
Pulsed,0.06,0.001,0.15,40.0,39.580874187476596,3.6343868994863047,4.164513516951774,0.0,449.1770094180247,0.2495427830100137,0.9198290109634399,-317.3824276595011,False
Random,0.06,0.001,0.15,40.0,39.122275102564046,3.737004956075428,4.321973179768768,0.0,433.45403460483067,0.2408077970026837,0.46002495288848877,-341.2109591565555,False
Constant,0.06,0.001,0.15,75.0,39.22682831503062,3.7657712661530858,4.295229643823942,0.0,491.3898803422344,0.272994377967908,0.5002392530441284,-338.3752410830668,False
Step,0.06,0.001,0.15,75.0,41.901546960552544,5.680316696621326,6.106886389390687,0.0,597.5906932502039,0.3319948295834466,0.6608073711395264,-681.5759225902624,False
Pulsed,0.06,0.001,0.15,75.0,39.32992694961524,3.527370249283534,4.061875144244386,0.0,467.3998796629021,0.2596665998127234,0.9579510688781738,-302.7259729125407,False
Random,0.06,0.001,0.15,75.0,38.861730228719445,3.6401765598768625,4.230253761234686,0.0,451.2913325435511,0.2507174069686395,0.4835970997810364,-327.6238290158821,False
Constant,0.06,0.001,0.15,100.0,39.043020687493886,3.6926462864527556,4.223565633939075,0.0,504.59245918758097,0.28032914399310055,0.5172559916973114,-327.81198571858636,False
Step,0.06,0.001,0.15,100.0,41.707273599889966,5.6051673725863616,6.022353559656537,0.0,610.2158737667924,0.3390088187593291,0.6765155792236328,-663.6340253047914,False
Pulsed,0.06,0.001,0.15,100.0,39.159817209316444,3.458691300081864,3.997026155555517,0.0,480.29689835422323,0.2668316101967907,0.9815089106559753,-293.731534875302,False
Random,0.06,0.001,0.15,100.0,38.6907926913557,3.57647679478173,4.171689161175304,0.0,464.07555553848215,0.25781975307693455,0.5015478432178497,-319.1683540519481,False
Constant,0.06,0.001,0.15,150.0,38.70191105117457,3.5568491853371165,4.0970307749330725,0.0,531.1680518082285,0.2950933621156825,0.5539113879203796,-309.76083183736165,False
Step,0.06,0.001,0.15,150.0,41.34018722957893,5.463491387932559,5.866116820321895,0.0,635.329116623252,0.35296062034625114,0.709868848323822,-631.2738037212715,False
Pulsed,0.06,0.001,0.15,150.0,38.83693720655106,3.333949748190534,3.8842291524723853,0.0,506.1295933616384,0.28118310742313246,1.0476599335670471,-278.6061652976652,False
Random,0.06,0.001,0.15,150.0,38.38489054937811,3.458343006595936,4.069829412350786,0.0,489.7122108236654,0.2720623393464808,0.5399935841560364,-304.90512473736413,False
Constant,0.06,0.001,0.2,40.0,39.03532961110729,3.6143091633756157,4.188959489780409,0.0,509.41657797194785,0.2830092099844155,0.5027328431606293,-322.29889060188236,False
Step,0.06,0.001,0.2,40.0,41.73163588508979,5.558777620176451,6.0042626009149505,0.0,613.1409534392878,0.3406338630218266,0.6651239991188049,-659.4212825489221,False
Pulsed,0.06,0.001,0.2,40.0,39.124723694451,3.378737343800939,3.9550818930614726,0.0,485.35228011000436,0.2696401556166691,0.9544982314109802,-287.4592221798789,False
Random,0.06,0.001,0.2,40.0,38.66166912497902,3.4893021374819786,4.1322620426245695,0.0,469.0059211811749,0.26055884510065275,0.4850771427154541,-313.00420936028894,False
Constant,0.06,0.001,0.2,75.0,38.78309796076428,3.514334706290767,4.093809981608092,0.0,526.8788148236927,0.29271045267982926,0.5268263220787048,-308.7194770944719,False
Step,0.06,0.001,0.2,75.0,41.46229299021072,5.45425128604686,5.888212690209813,0.0,630.5309914544923,0.35029499525249574,0.6872185468673706,-635.3155226477536,False
Pulsed,0.06,0.001,0.2,75.0,38.891863211746795,3.282073601490864,3.868407949574593,0.0,502.716507006553,0.2792869483369739,0.9866753220558167,-275.83444419612266,False
Random,0.06,0.001,0.2,75.0,38.425264603522955,3.4031892630428935,4.055933062530776,0.0,485.86560099940107,0.26992533388855616,0.5106484591960907,-302.32688446296333,False
Constant,0.06,0.001,0.2,100.0,38.61353319420021,3.4487296368443174,4.032959379840432,0.0,539.5359356620029,0.2997421864788905,0.5451115965843201,-300.2758917900052,False
Step,0.06,0.001,0.2,100.0,41.27848616707328,5.384374744815049,5.811044321324327,0.0,642.8796095884172,0.3571553386602318,0.7037845253944397,-619.6118743469051,False
Pulsed,0.06,0.001,0.2,100.0,38.73448078828227,3.220733351436469,3.8147874556102837,0.0,515.1666028834297,0.2862036682685721,1.0179013907909393,-268.8567671767957,False
