kp,ki,bias,integral_limit,mean_total_reward,worst_max_temperature_C,mean_abs_temp_error_C,mean_rms_temp_error_C,total_time_above_safe_s,mean_total_cooling_effort,mean_action_variation,any_failure
0.1,0.004,0.25,100.0,-263.9476427133271,38.16276947264797,2.5390646588674817,3.655189386685737,0.0,798.285749321396,1.2451117634773254,False
0.06,0.006,0.2,150.0,-263.9517988411054,37.892658638939274,2.391579327742389,3.629032043014653,0.0,850.6780004789471,1.5955688208341599,False
0.16,0.004,0.2,75.0,-263.9731616079574,38.05176800037802,2.642954525010319,3.6709001106505874,0.0,765.7141415318329,1.3661915808916092,False
0.1,0.004,0.15,150.0,-264.151061531932,37.900198343448984,2.4989107374378694,3.6470799757260575,0.0,817.6240619761666,1.4955633878707886,False
0.1,0.006,0.05,150.0,-264.46034815130736,37.91712230378153,2.402945661089389,3.6342926909478948,0.0,845.4791973812389,1.7282283753156662,False
0.08,0.006,0.1,150.0,-264.48161936994245,37.92289341969076,2.4013314577397376,3.6339075256154807,0.0,846.5260991616888,1.6579191386699677,False
0.06,0.006,0.15,150.0,-264.5746279998286,37.92885078091089,2.401858952228713,3.6337757063506286,0.0,848.337107100524,1.6122692227363586,False
0.12,0.004,0.1,150.0,-264.58537539881604,37.89833652280839,2.5250961126268763,3.6532797245903934,0.0,812.5347799481087,1.4959925562143326,False
0.2,0.002,0.25,75.0,-264.62184082596457,37.99982888678908,2.6978819058161907,3.6851565126664507,0.0,749.9145051368687,1.3965568840503693,False
0.12,0.004,0.2,100.0,-264.69680860857517,38.13197849463066,2.588583382824904,3.6656186012550114,0.0,786.2858030992356,1.283222272992134,False
0.2,0.004,0.05,100.0,-264.9811586412338,37.90034030353443,2.681267402588481,3.679253969487086,0.0,762.8872597491718,1.518940582871437,False
0.08,0.006,0.05,150.0,-265.1877127311171,37.985682945531124,2.4161222179272652,3.6391128653783125,0.0,844.660617055808,1.7149333953857422,False
0.06,0.006,0.1,150.0,-265.2211728067257,37.99321842098131,2.413349571356373,3.638713146293694,0.0,845.9514566205544,1.6441250443458557,False
0.06,0.006,0.15,100.0,-265.497078148855,38.28517585519562,2.508777528000409,3.6583631714607368,0.0,802.3230829841923,1.3829838335514069,False
0.16,0.006,0.05,75.0,-265.50295577712524,38.06379829570176,2.669610718719858,3.6808462089501575,0.0,763.901384695142,1.4225110560655594,False
0.2,0.006,0.15,40.0,-265.5114449861908,38.03151067906725,2.7160933945836425,3.691430992228481,0.0,745.8254345375099,1.4793086349964142,False
0.08,0.006,0.1,100.0,-265.7615785197761,38.2371893070588,2.5412345889881007,3.663717779800204,0.0,798.8265837012441,1.338973581790924,False
0.06,0.006,0.05,150.0,-265.9619472246117,38.05652152575003,2.4312578266861564,3.644306238583217,0.0,843.632639291347,1.7145653516054153,False
0.2,0.002,0.15,150.0,-265.99100120974805,37.918587477294096,2.7036057295996185,3.6878875443147905,0.0,761.350058935117,1.4908802807331085,False
0.06,0.006,0.25,75.0,-266.09611797439146,38.50467866404193,2.524776718171394,3.666186499956205,0.0,794.0840414388949,1.2110012918710709,False
0.12,0.004,0.25,75.0,-266.2594441120457,38.3221552948549,2.6523658852380527,3.6843600922033763,0.0,765.3419181399222,1.216589316725731,False
0.1,0.006,0.05,100.0,-266.29501553339776,38.19465707987441,2.5797242796580453,3.671148361709745,0.0,794.0684011517442,1.3275298178195953,False
0.2,0.002,0.2,100.0,-266.323585673534,38.012219520602436,2.7327337749710923,3.696780285579318,0.0,747.407063130926,1.4162362813949585,False
0.2,0.001,0.25,150.0,-266.57562011548964,38.01871633144204,2.73794863610702,3.699900096060772,0.0,747.2204216604296,1.3864418864250183,False
0.08,0.006,0.2,75.0,-266.60337926815674,38.44445452510856,2.573989295651095,3.674215326943004,0.0,788.0240102718526,1.2011635154485703,False
0.06,0.004,0.2,150.0,-266.68363149365035,38.1097526490695,2.5280280774017596,3.663334858576692,0.0,812.6985844809678,1.4326874986290932,False
0.16,0.004,0.1,100.0,-266.7055843682696,38.07562919974929,2.693466045915202,3.6899101761512245,0.0,762.3242650972825,1.3878890722990036,False
0.08,0.004,0.15,150.0,-266.74644916948824,38.066720606341676,2.549856339315949,3.666964240481403,0.0,809.408993329067,1.424207627773285,False
0.2,0.004,0.1,75.0,-266.74916424572154,38.013243314091504,2.738248091988103,3.698637402267745,0.0,746.9429570963912,1.4837165027856827,False
0.1,0.004,0.1,150.0,-266.9944612360519,38.03176937077218,2.57345000676736,3.6720118971407563,0.0,805.0053003557405,1.4187442362308502,False
0.1,0.006,0.15,75.0,-267.2461673806423,38.390179885736686,2.6284033540037544,3.684596327222046,0.0,775.807245620068,1.2149736732244492,False
0.16,0.006,0.2,40.0,-267.4226012129762,38.26431418078403,2.73113929216469,3.7038209941557483,0.0,742.8139238028089,1.3300058245658875,False
0.12,0.004,0.05,150.0,-267.45931829031406,38.01085687750173,2.6018056551746103,3.6788073549643046,0.0,798.9835370998262,1.4252173900604248,False
0.2,0.004,0.2,40.0,-267.6450780834051,38.12909478445618,2.7627467099387104,3.7109822933424774,0.0,735.702574177627,1.4305854737758636,False
0.16,0.002,0.2,150.0,-267.82001769731465,38.090374035807564,2.71854092679023,3.699552444479823,0.0,760.4482468619608,1.3656031340360641,False
0.12,0.006,0.1,75.0,-268.13562770490273,38.341808693567565,2.6857418383532954,3.6967712450946206,0.0,762.8496106224056,1.2632109075784683,False
0.08,0.004,0.25,100.0,-268.17858479572345,38.47030328577486,2.6102534311440073,3.6861039029125626,0.0,786.2377506846678,1.1518379896879196,False
0.16,0.002,0.25,100.0,-268.36479800193433,38.24435319136972,2.751137708758437,3.710406908308255,0.0,744.4145070925442,1.281775325536728,False
0.1,0.004,0.2,100.0,-268.7461664342145,38.41138343458314,2.6604124769530832,3.696054149770298,0.0,773.3960607610788,1.1861467063426971,False
0.16,0.004,0.15,75.0,-268.93419631302345,38.246759427487824,2.7592602822983885,3.7129830330735913,0.0,743.7229588637856,1.3388165384531021,False
0.2,0.001,0.25,100.0,-269.05796829718884,38.16753645901068,2.792146829019396,3.723416062842632,0.0,732.062079918891,1.3817425966262817,False
0.12,0.004,0.15,100.0,-269.57848162731756,38.35894796831324,2.7144095159595594,3.7076925780627783,0.0,760.7151490917313,1.2382209599018097,False
0.2,0.002,0.2,75.0,-269.5887391457073,38.16957833786888,2.8029450661076867,3.7262722176607586,0.0,730.8484883463825,1.3762987405061722,False
0.2,0.002,0.25,40.0,-269.62614013432943,38.22564489494479,2.800952822987885,3.7296018305177006,0.0,726.8423273582448,1.3719500452280045,False
0.16,0.004,0.25,40.0,-269.82730631352206,38.376089261923234,2.781705735532814,3.725788926411213,0.0,731.5018122040492,1.2766351997852325,False
